#Timemin,   Data,   Theory,   NormData
1,   0.133000000,   0.995863096,   1.000000000
5,   0.129898579,   0.975322679,   0.976681044
9,   0.127602862,   0.955826679,   0.959420014
13,   0.124005268,   0.937321993,   0.932370433
17,   0.122340398,   0.919758214,   0.919852618
21,   0.120589347,   0.903087500,   0.906686817
25,   0.119078240,   0.887264442,   0.895325112
29,   0.115452128,   0.872245938,   0.868061112
33,   0.114441004,   0.857991081,   0.860458678
37,   0.111274039,   0.844461039,   0.836646911
41,   0.108838032,   0.831618960,   0.818331067
45,   0.108612550,   0.819429862,   0.816635717
49,   0.106608022,   0.807860542,   0.801564072
53,   0.104357752,   0.796879488,   0.784644752
57,   0.103590479,   0.786456787,   0.778875778
61,   0.102432870,   0.776564050,   0.770171956
65,   0.102260789,   0.767174328,   0.768878116
69,   0.101864715,   0.758262045,   0.765900115
73,   0.099343507,   0.749802925,   0.746943663
77,   0.099581203,   0.741773925,   0.748730849
81,   0.097832158,   0.734153176,   0.735580136
85,   0.096637955,   0.726919920,   0.726601162
89,   0.096518131,   0.720054452,   0.725700231
